"mqtt_topic","mqtt_json_path","device","tag","yard_tag","target_type","terminal","cabinet","system","description","unit","precision","data_type"
"marpower/power-tag/toilet-guest-cabin-ps-fwd","rms_current_phase_c","Powertags5","PT31F01_RMS_Current_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Guest Cabin PS Fwd RMS Current Phase C","A",,"REAL"
"marpower/power-tag/toilet-guest-cabin-ps-fwd","rms_current_phase_neut","Powertags5","PT31F01_RMS_Current_Phase_Neut",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Guest Cabin PS Fwd RMS Current Phase Neutral","A",,"REAL"
"marpower/power-tag/toilet-guest-cabin-ps-fwd","rms_voltage_a_n","Powertags5","PT31F01_RMS_Voltage_A_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Guest Cabin PS Fwd RMS Voltage Phase A to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-guest-cabin-ps-fwd","rms_voltage_b_n","Powertags5","PT31F01_RMS_Voltage_B_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Guest Cabin PS Fwd RMS Voltage Phase B to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-guest-cabin-ps-fwd","rms_voltage_c_n","Powertags5","PT31F01_RMS_Voltage_C_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Guest Cabin PS Fwd RMS Voltage Phase C to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-guest-cabin-ps-fwd","active_power_phase_a","Powertags5","PT31F01_Active_Power_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Guest Cabin PS Fwd Active Power Phase A","W",,"REAL"
"marpower/power-tag/toilet-guest-cabin-ps-fwd","active_power_phase_b","Powertags5","PT31F01_Active_Power_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Guest Cabin PS Fwd Active Power Phase B","W",,"REAL"
"marpower/power-tag/toilet-guest-cabin-ps-fwd","active_power_phase_c","Powertags5","PT31F01_Active_Power_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Guest Cabin PS Fwd Active Power Phase C","W",,"REAL"
"marpower/power-tag/toilet-guest-cabin-ps-fwd","total_active_power","Powertags5","PT31F01_Total_Active_Power",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Guest Cabin PS Fwd Total Active Power ","W",,"REAL"
"marpower/power-tag/toilet-guest-cabin-ps-fwd","power_factor_phase_a","Powertags5","PT31F01_Power_Factor_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Guest Cabin PS Fwd Power Factor Phase A","-",,"REAL"
"marpower/power-tag/toilet-guest-cabin-ps-fwd","power_factor_phase_b","Powertags5","PT31F01_Power_Factor_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Guest Cabin PS Fwd Power Factor Phase B","-",,"REAL"
"marpower/power-tag/toilet-guest-cabin-ps-fwd","power_factor_phase_c","Powertags5","PT31F01_Power_Factor_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Guest Cabin PS Fwd Power Factor Phase C","-",,"REAL"
"marpower/power-tag/toilet-guest-cabin-ps-fwd","total_power_factor","Powertags5","PT31F01_Total_Power_Factor",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Guest Cabin PS Fwd Total Power Factor","-",,"REAL"
"marpower/power-tag/to-overflow-cabin","rms_current_phase_a","Powertags5","PT32F01_RMS_Current_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin RMS Current Phase A","A",,"REAL"
"marpower/power-tag/to-overflow-cabin","rms_current_phase_b","Powertags5","PT32F01_RMS_Current_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin RMS Current Phase B","A",,"REAL"
"marpower/power-tag/to-overflow-cabin","rms_current_phase_c","Powertags5","PT32F01_RMS_Current_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin RMS Current Phase C","A",,"REAL"
"marpower/power-tag/to-overflow-cabin","rms_current_phase_neut","Powertags5","PT32F01_RMS_Current_Phase_Neut",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin RMS Current Phase Neutral","A",,"REAL"
"marpower/power-tag/to-overflow-cabin","rms_voltage_a_n","Powertags5","PT32F01_RMS_Voltage_A_N",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin RMS Voltage Phase A to Neutral ","V",,"REAL"
"marpower/power-tag/to-overflow-cabin","rms_voltage_b_n","Powertags5","PT32F01_RMS_Voltage_B_N",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin RMS Voltage Phase B to Neutral ","V",,"REAL"
"marpower/power-tag/to-overflow-cabin","rms_voltage_c_n","Powertags5","PT32F01_RMS_Voltage_C_N",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin RMS Voltage Phase C to Neutral ","V",,"REAL"
"marpower/power-tag/to-overflow-cabin","active_power_phase_a","Powertags5","PT32F01_Active_Power_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin Active Power Phase A","W",,"REAL"
"marpower/power-tag/to-overflow-cabin","active_power_phase_b","Powertags5","PT32F01_Active_Power_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin Active Power Phase B","W",,"REAL"
"marpower/power-tag/to-overflow-cabin","active_power_phase_c","Powertags5","PT32F01_Active_Power_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin Active Power Phase C","W",,"REAL"
"marpower/power-tag/to-overflow-cabin","total_active_power","Powertags5","PT32F01_Total_Active_Power",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin Total Active Power ","W",,"REAL"
"marpower/power-tag/to-overflow-cabin","power_factor_phase_a","Powertags5","PT32F01_Power_Factor_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin Power Factor Phase A","-",,"REAL"
"marpower/power-tag/to-overflow-cabin","power_factor_phase_b","Powertags5","PT32F01_Power_Factor_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin Power Factor Phase B","-",,"REAL"
"marpower/power-tag/to-overflow-cabin","power_factor_phase_c","Powertags5","PT32F01_Power_Factor_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin Power Factor Phase C","-",,"REAL"
"marpower/power-tag/to-overflow-cabin","total_power_factor","Powertags5","PT32F01_Total_Power_Factor",,"Float",,"+CB.2","AC DISTR 10P3","To Overflow Cabin Total Power Factor","-",,"REAL"
"marpower/power-tag/toilet-captains-cabin","rms_current_phase_a","Powertags5","PT33F01_RMS_Current_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin RMS Current Phase A","A",,"REAL"
"marpower/power-tag/toilet-captains-cabin","rms_current_phase_b","Powertags5","PT33F01_RMS_Current_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin RMS Current Phase B","A",,"REAL"
"marpower/power-tag/toilet-captains-cabin","rms_current_phase_c","Powertags5","PT33F01_RMS_Current_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin RMS Current Phase C","A",,"REAL"
"marpower/power-tag/toilet-captains-cabin","rms_current_phase_neut","Powertags5","PT33F01_RMS_Current_Phase_Neut",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin RMS Current Phase Neutral","A",,"REAL"
"marpower/power-tag/toilet-captains-cabin","rms_voltage_a_n","Powertags5","PT33F01_RMS_Voltage_A_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin RMS Voltage Phase A to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-captains-cabin","rms_voltage_b_n","Powertags5","PT33F01_RMS_Voltage_B_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin RMS Voltage Phase B to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-captains-cabin","rms_voltage_c_n","Powertags5","PT33F01_RMS_Voltage_C_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin RMS Voltage Phase C to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-captains-cabin","active_power_phase_a","Powertags5","PT33F01_Active_Power_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin Active Power Phase A","W",,"REAL"
"marpower/power-tag/toilet-captains-cabin","active_power_phase_b","Powertags5","PT33F01_Active_Power_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin Active Power Phase B","W",,"REAL"
"marpower/power-tag/toilet-captains-cabin","active_power_phase_c","Powertags5","PT33F01_Active_Power_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin Active Power Phase C","W",,"REAL"
"marpower/power-tag/toilet-captains-cabin","total_active_power","Powertags5","PT33F01_Total_Active_Power",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin Total Active Power ","W",,"REAL"
"marpower/power-tag/toilet-captains-cabin","power_factor_phase_a","Powertags5","PT33F01_Power_Factor_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin Power Factor Phase A","-",,"REAL"
"marpower/power-tag/toilet-captains-cabin","power_factor_phase_b","Powertags5","PT33F01_Power_Factor_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin Power Factor Phase B","-",,"REAL"
"marpower/power-tag/toilet-captains-cabin","power_factor_phase_c","Powertags5","PT33F01_Power_Factor_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin Power Factor Phase C","-",,"REAL"
"marpower/power-tag/toilet-captains-cabin","total_power_factor","Powertags5","PT33F01_Total_Power_Factor",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Captains Cabin Total Power Factor","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","rms_current_phase_a","Powertags5","PT34F01_RMS_Current_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft RMS Current Phase A","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","rms_current_phase_b","Powertags5","PT34F01_RMS_Current_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft RMS Current Phase B","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","rms_current_phase_c","Powertags5","PT34F01_RMS_Current_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft RMS Current Phase C","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","rms_current_phase_neut","Powertags5","PT34F01_RMS_Current_Phase_Neut",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft RMS Current Phase Neutral","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","rms_voltage_a_n","Powertags5","PT34F01_RMS_Voltage_A_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft RMS Voltage Phase A to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","rms_voltage_b_n","Powertags5","PT34F01_RMS_Voltage_B_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft RMS Voltage Phase B to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","rms_voltage_c_n","Powertags5","PT34F01_RMS_Voltage_C_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft RMS Voltage Phase C to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","active_power_phase_a","Powertags5","PT34F01_Active_Power_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft Active Power Phase A","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","active_power_phase_b","Powertags5","PT34F01_Active_Power_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft Active Power Phase B","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","active_power_phase_c","Powertags5","PT34F01_Active_Power_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft Active Power Phase C","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","total_active_power","Powertags5","PT34F01_Total_Active_Power",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft Total Active Power ","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","power_factor_phase_a","Powertags5","PT34F01_Power_Factor_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft Power Factor Phase A","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","power_factor_phase_b","Powertags5","PT34F01_Power_Factor_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft Power Factor Phase B","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","power_factor_phase_c","Powertags5","PT34F01_Power_Factor_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft Power Factor Phase C","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-aft","total_power_factor","Powertags5","PT34F01_Total_Power_Factor",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Aft Total Power Factor","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","rms_current_phase_a","Powertags5","PT35F01_RMS_Current_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid RMS Current Phase A","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","rms_current_phase_b","Powertags5","PT35F01_RMS_Current_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid RMS Current Phase B","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","rms_current_phase_c","Powertags5","PT35F01_RMS_Current_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid RMS Current Phase C","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","rms_current_phase_neut","Powertags5","PT35F01_RMS_Current_Phase_Neut",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid RMS Current Phase Neutral","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","rms_voltage_a_n","Powertags5","PT35F01_RMS_Voltage_A_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid RMS Voltage Phase A to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","rms_voltage_b_n","Powertags5","PT35F01_RMS_Voltage_B_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid RMS Voltage Phase B to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","rms_voltage_c_n","Powertags5","PT35F01_RMS_Voltage_C_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid RMS Voltage Phase C to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","active_power_phase_a","Powertags5","PT35F01_Active_Power_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid Active Power Phase A","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","active_power_phase_b","Powertags5","PT35F01_Active_Power_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid Active Power Phase B","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","active_power_phase_c","Powertags5","PT35F01_Active_Power_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid Active Power Phase C","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","total_active_power","Powertags5","PT35F01_Total_Active_Power",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid Total Active Power ","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","power_factor_phase_a","Powertags5","PT35F01_Power_Factor_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid Power Factor Phase A","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","power_factor_phase_b","Powertags5","PT35F01_Power_Factor_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid Power Factor Phase B","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","power_factor_phase_c","Powertags5","PT35F01_Power_Factor_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid Power Factor Phase C","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-mid","total_power_factor","Powertags5","PT35F01_Total_Power_Factor",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Mid Total Power Factor","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","rms_current_phase_a","Powertags5","PT36F01_RMS_Current_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid RMS Current Phase A","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","rms_current_phase_b","Powertags5","PT36F01_RMS_Current_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid RMS Current Phase B","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","rms_current_phase_c","Powertags5","PT36F01_RMS_Current_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid RMS Current Phase C","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","rms_current_phase_neut","Powertags5","PT36F01_RMS_Current_Phase_Neut",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid RMS Current Phase Neutral","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","rms_voltage_a_n","Powertags5","PT36F01_RMS_Voltage_A_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid RMS Voltage Phase A to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","rms_voltage_b_n","Powertags5","PT36F01_RMS_Voltage_B_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid RMS Voltage Phase B to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","rms_voltage_c_n","Powertags5","PT36F01_RMS_Voltage_C_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid RMS Voltage Phase C to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","active_power_phase_a","Powertags5","PT36F01_Active_Power_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid Active Power Phase A","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","active_power_phase_b","Powertags5","PT36F01_Active_Power_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid Active Power Phase B","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","active_power_phase_c","Powertags5","PT36F01_Active_Power_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid Active Power Phase C","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","total_active_power","Powertags5","PT36F01_Total_Active_Power",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid Total Active Power ","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","power_factor_phase_a","Powertags5","PT36F01_Power_Factor_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid Power Factor Phase A","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","power_factor_phase_b","Powertags5","PT36F01_Power_Factor_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid Power Factor Phase B","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","power_factor_phase_c","Powertags5","PT36F01_Power_Factor_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid Power Factor Phase C","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-mid","total_power_factor","Powertags5","PT36F01_Total_Power_Factor",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Mid Total Power Factor","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","rms_current_phase_a","Powertags5","PT37F01_RMS_Current_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd RMS Current Phase A","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","rms_current_phase_b","Powertags5","PT37F01_RMS_Current_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd RMS Current Phase B","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","rms_current_phase_c","Powertags5","PT37F01_RMS_Current_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd RMS Current Phase C","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","rms_current_phase_neut","Powertags5","PT37F01_RMS_Current_Phase_Neut",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd RMS Current Phase Neutral","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","rms_voltage_a_n","Powertags5","PT37F01_RMS_Voltage_A_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd RMS Voltage Phase A to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","rms_voltage_b_n","Powertags5","PT37F01_RMS_Voltage_B_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd RMS Voltage Phase B to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","rms_voltage_c_n","Powertags5","PT37F01_RMS_Voltage_C_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd RMS Voltage Phase C to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","active_power_phase_a","Powertags5","PT37F01_Active_Power_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd Active Power Phase A","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","active_power_phase_b","Powertags5","PT37F01_Active_Power_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd Active Power Phase B","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","active_power_phase_c","Powertags5","PT37F01_Active_Power_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd Active Power Phase C","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","total_active_power","Powertags5","PT37F01_Total_Active_Power",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd Total Active Power ","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","power_factor_phase_a","Powertags5","PT37F01_Power_Factor_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd Power Factor Phase A","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","power_factor_phase_b","Powertags5","PT37F01_Power_Factor_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd Power Factor Phase B","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","power_factor_phase_c","Powertags5","PT37F01_Power_Factor_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd Power Factor Phase C","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-sb-fwd","total_power_factor","Powertags5","PT37F01_Total_Power_Factor",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin SB Fwd Total Power Factor","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","rms_current_phase_a","Powertags5","PT38F01_RMS_Current_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd RMS Current Phase A","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","rms_current_phase_b","Powertags5","PT38F01_RMS_Current_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd RMS Current Phase B","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","rms_current_phase_c","Powertags5","PT38F01_RMS_Current_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd RMS Current Phase C","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","rms_current_phase_neut","Powertags5","PT38F01_RMS_Current_Phase_Neut",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd RMS Current Phase Neutral","A",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","rms_voltage_a_n","Powertags5","PT38F01_RMS_Voltage_A_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd RMS Voltage Phase A to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","rms_voltage_b_n","Powertags5","PT38F01_RMS_Voltage_B_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd RMS Voltage Phase B to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","rms_voltage_c_n","Powertags5","PT38F01_RMS_Voltage_C_N",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd RMS Voltage Phase C to Neutral ","V",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","active_power_phase_a","Powertags5","PT38F01_Active_Power_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd Active Power Phase A","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","active_power_phase_b","Powertags5","PT38F01_Active_Power_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd Active Power Phase B","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","active_power_phase_c","Powertags5","PT38F01_Active_Power_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd Active Power Phase C","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","total_active_power","Powertags5","PT38F01_Total_Active_Power",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd Total Active Power ","W",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","power_factor_phase_a","Powertags5","PT38F01_Power_Factor_Phase_A",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd Power Factor Phase A","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","power_factor_phase_b","Powertags5","PT38F01_Power_Factor_Phase_B",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd Power Factor Phase B","-",,"REAL"
"marpower/power-tag/toilet-crew-cabin-ps-fwd","power_factor_phase_c","Powertags5","PT38F01_Power_Factor_Phase_C",,"Float",,"+CB.2","AC DISTR 10P3","Toilet Crew Cabin PS Fwd Power Factor Phase C","-",,"REAL"
