Version date,22-9-2025,Revision nr,13,,,,,,,,,,,,,,
Simulation module,System,Pos,Sub,Component name,technical name,Type,Brand,Remarks,Material / description,"Voltage, capacity, power",Variable type,Variable,Included in simulation,Units,Modelica name,MQTT topic,MQTT key
,Buffer tanks,50001101,07,Ball valve PP-RCT d25,,7911 0700 11,B'R Econtec,,,,,,,,,,
,Buffer tanks,50001101,08,Ball valve PP-RCT d25,,7911 0700 11,B'R Econtec,,,,,,,,,,
,Buffer tanks,50001101,09,Ball valve PP-RCT d25,,7911 0700 11,B'R Econtec,,,,,,,,,,
,Buffer tanks,50001102,01,Ball valve PP-RCT d32,,7911 0800 11,B'R Econtec,,,,,,,,,,
,Buffer tanks,50001102,02,Ball valve PP-RCT d32,,7911 0800 11,B'R Econtec,,,,,,,,,,
,Buffer tanks,50001102,03,Ball valve PP-RCT d32,,7911 0800 11,B'R Econtec,,,,,,,,,,
,Fahrenheit,50001004,,Heat Exchanger,,FH-UX005.5-S3N0-HG-TN-21,Asorpi Thermal,To Buffer tanks,,,,,,,,,
,Fahrenheit,50001005,,Heat Exchanger,,FH-RX00.5-T0N0-HG-TN-35,Asorpi Thermal,Sea water cooler,,,,,,,,,
,Fahrenheit,50001034,,Adsorption Chiller,chiller,AD 16,Fahrenheit,IO or Modbus?,,,,Release signal,,,,,
,Fahrenheit,50001034,,Adsorption Chiller,chiller,AD 16,Fahrenheit,IO or Modbus?,,,,Temperature setpoint,,,,,
,Fahrenheit,50001034,,Adsorption Chiller,chiller,AD 16,Fahrenheit,IO or Modbus?,,,,Operating,,,,,
,Fahrenheit,50001036,,Hydronic module,seapump-cooling,HM10,Termodinamica,Sea water pump,,10kW,,,,,,,
,Fahrenheit,50001037,,Circulation pump Chiller Wall and ceiling cooling,pump-cooling,"Stratos Pico 25/0,5-8",Wilo,,,"1 x 230 Vac, 0,08 kW, Modbus",,Relative duty point,,,,,
,Fahrenheit,50001037,,Circulation pump Chiller Wall and ceiling cooling,pump-cooling,"Stratos Pico 25/0,5-8",Wilo,,,"1 x 230 Vac, 0,08 kW, Modbus",,On-Off,,,,,
,Fahrenheit,50001037,,Circulation pump Chiller Wall and ceiling cooling,pump-cooling,"Stratos Pico 25/0,5-8",Wilo,,,"1 x 230 Vac, 0,08 kW, Modbus",,Control mode,,,,,
,Fahrenheit,50001037,,Circulation pump Chiller Wall and ceiling cooling,pump-cooling,"Stratos Pico 25/0,5-8",Wilo,,,"1 x 230 Vac, 0,08 kW, Modbus",,Pressure,,,,,
,Fahrenheit,50001037,,Circulation pump Chiller Wall and ceiling cooling,pump-cooling,"Stratos Pico 25/0,5-8",Wilo,,,"1 x 230 Vac, 0,08 kW, Modbus",,Flow,,,,,
,Fahrenheit,50001037,,Circulation pump Chiller Wall and ceiling cooling,pump-cooling,"Stratos Pico 25/0,5-8",Wilo,,,"1 x 230 Vac, 0,08 kW, Modbus",,Energy consumption,,,,,
,Fahrenheit,50001037,,Circulation pump Chiller Wall and ceiling cooling,pump-cooling,"Stratos Pico 25/0,5-8",Wilo,,,"1 x 230 Vac, 0,08 kW, Modbus",,Speed,,,,,
,Fahrenheit,50001037,,Circulation pump Chiller Wall and ceiling cooling,pump-cooling,"Stratos Pico 25/0,5-8",Wilo,,,"1 x 230 Vac, 0,08 kW, Modbus",,Operation time,,,,,
,Fahrenheit,50001038,36,Temperature sensor Pt100 RTD,temp-chiller-hot-in,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,,,,,
,Fahrenheit,50001038,37,Temperature sensor Pt100 RTD,temp-chiller-hot-out,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,,,,,
,Fahrenheit,50001038,38,Temperature sensor Pt100 RTD,temp-chiller-waste-out,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,,,,,
,Fahrenheit,50001038,39,Temperature sensor Pt100 RTD,temp-chiller-waste-in,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,,,,,
,Fahrenheit,50001038,40,Temperature sensor Pt100 RTD,temp-chiller-waste-cooling,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,,,,,
PCM,,,,,,,,,,,,,#VALUE!,,__,,
Consumers,High temp,,,Boosting return,consumers-boosting-return,,,,,,Simulation output,Temperature,yes,°C,consumers_boosting_return__temperature__C,thrs/consumers-boosting-return,temperature
,Fahrenheit,50001038,42,Temperature sensor Pt100 RTD,temp-chiller-cold-out,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,#N/A,°C,temp_chiller_cold_out__temperature__C,thrs/temp-chiller-cold-out,temperature
,Fahrenheit,50001038,43,Temperature sensor Pt100 RTD,temp-chiller-cold-in,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,#N/A,°C,temp_chiller_cold_in__temperature__C,thrs/temp-chiller-cold-in,temperature
Consumers,High temp,,,Boosting return,consumers-boosting-return,,,,,,Simulation output,Flow,yes,l/min,consumers_boosting_return__flow__l_min,thrs/consumers-boosting-return,flow
,Fahrenheit,50001038,56,Temperature sensor Pt100 RTD,temp-waste-return,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,#N/A,°C,temp_waste_return__temperature__C,thrs/temp-waste-return,temperature
,Fahrenheit,50001038,67,Temperature sensor Pt100 RTD,temp-seapump-cooling-out,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,#N/A,°C,temp_seapump_cooling_out__temperature__C,thrs/temp-seapump-cooling-out,temperature
,Fahrenheit,50001038,68,Temperature sensor Pt100 RTD,temp-seapump-cooling-in,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,#N/A,°C,temp_seapump_cooling_in__temperature__C,thrs/temp-seapump-cooling-in,temperature
,Fahrenheit,50001040,02,Expansion vessel,,3073577,FLAMCO,,,,,,#N/A,,__,,
,Fahrenheit,50001040,03,Expansion vessel,,3073577,FLAMCO,,,,,,#N/A,,__,,
,Fahrenheit,50001041,02,Pressure relief valve,,1800648,FLAMCO,,,,,,#N/A,,__,,
,Fahrenheit,50001041,03,Pressure relief valve,,1800648,FLAMCO,,,,,,#N/A,,__,,
,Fahrenheit,50001046,02,Mixing valve DN 32,valve-mix-chiller-hot,R529+LR24A-MOD + EXT-OC-ZR532,Belimo,,,,,Setpoint,#N/A,ratio,valve_mix_chiller_hot__setpoint__ratio,thrs/valve-mix-chiller-hot,setpoint
,Fahrenheit,50001046,02,Mixing valve DN 32,valve-mix-chiller-hot,R529+LR24A-MOD + EXT-OC-ZR532,Belimo,,,,,Relative position,#N/A,ratio,valve_mix_chiller_hot__position_rel__ratio,thrs/valve-mix-chiller-hot,position-rel
,Fahrenheit,50001046,02,Mixing valve DN 32,valve-mix-chiller-hot,R529+LR24A-MOD + EXT-OC-ZR532,Belimo,,,,,Absolute position,#N/A,degrees,valve_mix_chiller_hot__position_abs__degrees,thrs/valve-mix-chiller-hot,position-abs
,Fahrenheit,50001047,01,Mixing valve DN 40,valve-mix-chiller-waste-cooling,R538+NR24A-MOD + EXT-OC-ZR540,Belimo,,,,,Setpoint,#N/A,ratio,valve_mix_chiller_waste_cooling__setpoint__ratio,thrs/valve-mix-chiller-waste-cooling,setpoint
,Fahrenheit,50001047,01,Mixing valve DN 40,valve-mix-chiller-waste-cooling,R538+NR24A-MOD + EXT-OC-ZR540,Belimo,,,,,Relative position,#N/A,ratio,valve_mix_chiller_waste_cooling__position_rel__ratio,thrs/valve-mix-chiller-waste-cooling,position-rel
