module,folder,instanceKey,componentType,title,tooltipTitle,tooltipComponentType,tooltipTechnicalName,slotId,slotLabel,kind,valueKind,fieldType,fieldName,sourceModule,customTitle,customYardTag,customTechnicalName,literalValue,refTarget,pidType,pidControllerField,pidSetpointField,pidOutputMinimumField,notes
dhw,flow-sensors,1057-17,FlowSensor,Flow Dc,Flow sensor,Flow sensor,,parameters.flow,parameters › flow,parameters,field,parameter:flowcontrol,dcFlowcontrolMinimumSetpoint,dhw,,,,,,,,,,
dhw,flow-sensors,1057-17,FlowSensor,Flow Dc,Flow sensor,Flow sensor,,sensors.temperature,sensors › temperature,sensors,field,sensor:temperature,dhwTemperatureFreshwaterSupply,dhw,,,,,,,,,,
dhw,flow-sensors,1057-17,FlowSensor,Flow Dc,Flow sensor,Flow sensor,,source,Source,source,field,sensor:flow,dhwFlowDc,dhw,,,,,,,,,,
dhw,flow-sensors,1057-24,FlowSensor,Flow Drives,Flow sensor,Flow sensor,,controls.pump,controls › pump,controls,field,control:pump,dhwPump,dhw,,,,,,,,,,
dhw,flow-sensors,1057-24,FlowSensor,Flow Drives,Flow sensor,Flow sensor,,parameters.flow,parameters › flow,parameters,field,parameter:flowcontrol,drivesFlowcontrolMinimumSetpoint,dhw,,,,,,,,,,
dhw,flow-sensors,1057-24,FlowSensor,Flow Drives,Flow sensor,Flow sensor,,sensors.temperature,sensors › temperature,sensors,field,sensor:temperature,dhwTemperatureFreshwaterSupply,dhw,,,,,,,,,,
dhw,flow-sensors,1057-24,FlowSensor,Flow Drives,Flow sensor,Flow sensor,,source,Source,source,field,sensor:flow,dhwFlowDrives,dhw,,,,,,,,,,
dhw,flow-sensors,1058-11,FlowSensor,Flow Boosting,Flow sensor,Flow sensor,,controllerState.controller,Controller › controller,controllerState,field,pidController,dhwPumpFlowController,dhw,,,,,,,,,,
dhw,flow-sensors,1058-11,FlowSensor,Flow Boosting,Flow sensor,Flow sensor,,controls.pump,controls › pump,controls,field,control:pump,dhwPump,dhw,,,,,,,,,,
dhw,flow-sensors,1058-11,FlowSensor,Flow Boosting,Flow sensor,Flow sensor,,parameters.flow,parameters › flow,parameters,field,parameter:flow,heatpumpFlowSetpoint,dhw,,,,,,,,,,
dhw,flow-sensors,1058-11,FlowSensor,Flow Boosting,Flow sensor,Flow sensor,,sensors.temperature,sensors › temperature,sensors,field,sensor:temperature,dhwTemperatureBoostingReturn,dhw,,,,,,,,,,
dhw,flow-sensors,1058-11,FlowSensor,Flow Boosting,Flow sensor,Flow sensor,,source,Source,source,field,sensor:flow,dhwFlowBoosting,dhw,,,,,,,,,,
dhw,heat-exchangers,1004,HeatExchanger,Adsorption Exchanger,Heat Exchanger,Heat Exchanger,,custom.exchangeCircuit,Custom › exchangeCircuit,custom,ref,,,,,,,,adsorption,,,,,
dhw,heat-exchangers,1004,HeatExchanger,Adsorption Exchanger,Heat Exchanger,Heat Exchanger,,custom.sideA,Custom › sideA,custom,enum,,,,,,,,enum:HeatExchangerPortOrientation.Side,,,,,
dhw,heat-exchangers,1004,HeatExchanger,Adsorption Exchanger,Heat Exchanger,Heat Exchanger,,custom.sideB,Custom › sideB,custom,enum,,,,,,,,enum:HeatExchangerPortOrientation.Top,,,,,
dhw,heat-exchangers,1004,HeatExchanger,Adsorption Exchanger,Heat Exchanger,Heat Exchanger,,sensors.flow,sensors › flow,sensors,field,sensor:flow,dhwFlowDc,dhw,,,,,,,,,,
dhw,heat-exchangers,1004,HeatExchanger,Adsorption Exchanger,Heat Exchanger,Heat Exchanger,,sensors.incoming,sensors › incoming,sensors,field,sensor:temperature,dhwTemperatureFreshwaterSupply,dhw,,,,,,,,,,
dhw,heat-exchangers,1004,HeatExchanger,Adsorption Exchanger,Heat Exchanger,Heat Exchanger,,sensors.outgoing,sensors › outgoing,sensors,field,sensor:temperature,dhwTemperatureAdsorptionReturn,dhw,,,,,,,,,,
dhw,heat-exchangers,1004,HeatExchanger,Adsorption Exchanger,Heat Exchanger,Heat Exchanger,,source,Source,source,field,sensor:heatExchanger,dhwAdsorptionExchanger,dhw,,,,,,,,,,
dhw,heat-exchangers,1007,HeatExchanger,Consumers Exchanger,Heat Exchanger,Heat Exchanger,,custom.exchangeCircuit,Custom › exchangeCircuit,custom,ref,,,,,,,,highTempLoop,,,,,
