module,folder,key,title,componentType,typeLabel,slotId,slotLabel,kind,valueKind,allowedFieldTypes,required,value,srcTitle,srcYardTag,notes
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,custom.tankStateField,Custom › tankStateField,custom,customSource,,true,tank3State,,,
dhw,connecting-circuits,domestic,,FreshwaterCircuit,Connecting circuit,source,Source,source,,,true,fresh-water,,,
dhw,connecting-circuits,domestic,,FreshwaterCircuit,Connecting circuit,sensors.flowIn,sensors › flowIn,sensors,,sensor:flow;sensor:calculatedFlow,true,freshwaterHotwaterFlow,,,
dhw,connecting-circuits,domestic,,FreshwaterCircuit,Connecting circuit,sensors.flowOut,sensors › flowOut,sensors,,sensor:flow;sensor:calculatedFlow,true,dhwFreshwaterFlowSupply,,,
dhw,connecting-circuits,domestic,,FreshwaterCircuit,Connecting circuit,sensors.tIn,sensors › tIn,sensors,,sensor:temperature,true,freshwaterHotwaterTemperature,,,
dhw,connecting-circuits,domestic,,FreshwaterCircuit,Connecting circuit,sensors.tOut,sensors › tOut,sensors,,sensor:temperature,true,dhwTemperatureFreshwaterSupply,,,
dhw,exchange-circuits,adsorption,Adsorption,ExchangeCircuit,Exchange circuit,source,Source,source,,,true,adsorption,Adsorption,,
dhw,exchange-circuits,adsorption,Adsorption,ExchangeCircuit,Exchange circuit,sensors.incoming,sensors › incoming,sensors,,sensor:temperature,true,dhw:adsorptionTemperatureWasteReturn,,,
dhw,exchange-circuits,adsorption,Adsorption,ExchangeCircuit,Exchange circuit,sensors.outgoing,sensors › outgoing,sensors,,sensor:temperature,true,dhw:adsorptionTemperatureDhwReturn,,,
dhw,exchange-circuits,adsorption,Adsorption,ExchangeCircuit,Exchange circuit,sensors.flow,sensors › flow,sensors,,sensor:flow,true,dhw:adsorptionFlowDhw,,,
dhw,exchange-circuits,adsorption,Adsorption,ExchangeCircuit,Exchange circuit,sensors.deltaT,sensors › deltaT,sensors,,sensor:deltaT,true,adsorptionDelta,,,
dhw,exchange-circuits,adsorption,Adsorption,ExchangeCircuit,Exchange circuit,sensors.heatExchanger,sensors › heatExchanger,sensors,,sensor:heatExchanger,true,dhwAdsorptionExchanger,,,
dhw,exchange-circuits,adsorption,Adsorption,ExchangeCircuit,Exchange circuit,custom.circuitName,Custom › circuitName,custom,customSource,,true,Adsorption circuit,,,
dhw,exchange-circuits,brightloop,DC converters,ExchangeCircuit,Exchange circuit,source,Source,source,,,true,dc-converters,DC converters,,
dhw,exchange-circuits,brightloop,DC converters,ExchangeCircuit,Exchange circuit,sensors.incoming,sensors › incoming,sensors,,sensor:temperature,true,dhw:dcTemperatureRecovery,,,
dhw,exchange-circuits,brightloop,DC converters,ExchangeCircuit,Exchange circuit,sensors.outgoing,sensors › outgoing,sensors,,sensor:temperature,true,dhw:dcTemperatureRecoveryReturn,,,
dhw,exchange-circuits,brightloop,DC converters,ExchangeCircuit,Exchange circuit,sensors.flow,sensors › flow,sensors,,sensor:flow,true,dhw:dcFlowRecovery,,,
dhw,exchange-circuits,brightloop,DC converters,ExchangeCircuit,Exchange circuit,sensors.deltaT,sensors › deltaT,sensors,,sensor:deltaT,true,dcDelta,,,
dhw,exchange-circuits,brightloop,DC converters,ExchangeCircuit,Exchange circuit,sensors.heatExchanger,sensors › heatExchanger,sensors,,sensor:heatExchanger,true,dhwDcExchanger,,,
dhw,exchange-circuits,brightloop,DC converters,ExchangeCircuit,Exchange circuit,custom.circuitName,Custom › circuitName,custom,customSource,,true,DC Converters,,,
dhw,exchange-circuits,drives,Drives & shore,ExchangeCircuit,Exchange circuit,source,Source,source,,,true,drives-and-shore,Drives & shore,,
dhw,exchange-circuits,drives,Drives & shore,ExchangeCircuit,Exchange circuit,sensors.incoming,sensors › incoming,sensors,,sensor:temperature,true,dhw:drivesTemperatureRecovery,,,
