module,section,field,componentType,valveType,yardTag,technicalName,friendlyName
thrusters,sensorValues,thrustersPump1,sensor:pump,,50001194,thrusters-pump1,Pump1
thrusters,sensorValues,thrustersPump2,sensor:pump,,50001195,thrusters-pump2,Pump2
thrusters,sensorValues,thrustersTemperatureAft,sensor:temperature,,50001038-01,thrusters-temperature-aft,TemperatureAft
thrusters,sensorValues,thrustersTemperatureFwd,sensor:temperature,,50001038-02,thrusters-temperature-fwd,TemperatureFwd
thrusters,sensorValues,thrustersTemperatureSupply,sensor:temperature,,50001038-28,thrusters-temperature-supply,TemperatureSupply
thrusters,sensorValues,thrustersTemperatureRecoveryMix,sensor:temperature,,50001038-30,thrusters-temperature-recovery-mix,TemperatureRecoveryMix
thrusters,sensorValues,thrustersMixRecovery,sensor:valve,mix,50001074,thrusters-mix-recovery,MixRecovery
thrusters,sensorValues,thrustersMixExchanger,sensor:valve,mix,50001214-01,thrusters-mix-exchanger,MixExchanger
thrusters,sensorValues,thrustersFlowFwd,sensor:flow,,50001057-22,thrusters-flow-fwd,FlowFwd
thrusters,sensorValues,thrustersFlowAft,sensor:flow,,50001218-02,thrusters-flow-aft,FlowAft
thrusters,sensorValues,thrustersFlowcontrolAft,sensor:valve,flowcontrol,50001215,thrusters-flowcontrol-aft,FlowcontrolAft
thrusters,sensorValues,thrustersFlowcontrolFwd,sensor:valve,flowcontrol,50001064-02,thrusters-flowcontrol-fwd,FlowcontrolFwd
thrusters,sensorValues,thrustersSwitchRecovery,sensor:valve,switch,50001066-03,thrusters-switch-recovery,SwitchRecovery
thrusters,sensorValues,thrustersSwitchAft,sensor:valve,switch,50001091-01,thrusters-switch-aft,SwitchAft
thrusters,sensorValues,thrustersSwitchFwd,sensor:valve,switch,50001091-02,thrusters-switch-fwd,SwitchFwd
thrusters,sensorValues,thrustersFlowRecovery,sensor:flow,,50001218-01,thrusters-flow-recovery,FlowRecovery
thrusters,sensorValues,thrustersPressureDischarge,sensor:pressure,,50001097-01,thrusters-pressure-discharge,PressureDischarge
thrusters,sensorValues,thrustersPressureSystem,sensor:pressure,,50001097-02,thrusters-pressure-system,PressureSystem
thrusters,sensorValues,thrustersThrusterAft,sensor:thruster,,15001001,thrusters-thruster-aft,ThrusterAft
thrusters,sensorValues,thrustersThrusterFwd,sensor:thruster,,15001002,thrusters-thruster-fwd,ThrusterFwd
thrusters,sensorValues,thrustersPcs,sensor:pcs,,1500,thrusters-pcs,Pcs
thrusters,sensorValues,thrustersTemperatureRecovery,sensor:calculatedTemperature,,,thrusters-temperature-recovery,TemperatureRecovery
thrusters,sensorValues,thrustersTemperaturePreCooler,sensor:calculatedTemperature,,,thrusters-temperature-pre-cooler,TemperaturePreCooler
thrusters,sensorValues,thrustersFlow,sensor:calculatedFlow,,,thrusters-flow,Flow
thrusters,sensorValues,thrustersSeawaterExchanger,sensor:heatExchanger,,50001001,thrusters-seawater-exchanger,SeawaterExchanger
thrusters,controlValues,thrustersPump1,control:pump,,50001194,thrusters-pump1,Pump1
thrusters,controlValues,thrustersPump2,control:pump,,50001195,thrusters-pump2,Pump2
thrusters,controlValues,thrustersMixRecovery,control:valve,mix,50001074,thrusters-mix-recovery,MixRecovery
thrusters,controlValues,thrustersMixExchanger,control:valve,mix,50001214-01,thrusters-mix-exchanger,MixExchanger
thrusters,controlValues,thrustersFlowcontrolAft,control:valve,flowcontrol,50001215,thrusters-flowcontrol-aft,FlowcontrolAft
thrusters,controlValues,thrustersFlowcontrolFwd,control:valve,flowcontrol,50001064-02,thrusters-flowcontrol-fwd,FlowcontrolFwd
thrusters,controlValues,thrustersSwitchRecovery,control:valve,switch,50001066-03,thrusters-switch-recovery,SwitchRecovery
thrusters,controlValues,thrustersSwitchAft,control:valve,switch,50001091-01,thrusters-switch-aft,SwitchAft
thrusters,controlValues,thrustersSwitchFwd,control:valve,switch,50001091-02,thrusters-switch-fwd,SwitchFwd
thrusters,parameters,maximumSupplyTemperature,parameter:temperature,,,maximum-supply-temperature,MaximumSupplyTemperature
thrusters,parameters,coolingTemperature,parameter:temperature,,,cooling-temperature,CoolingTemperature
thrusters,parameters,coolingFlow,parameter:flow,,,cooling-flow,CoolingFlow
thrusters,parameters,recoveryTemperature,parameter:temperature,,,recovery-temperature,RecoveryTemperature
thrusters,parameters,warmupTemperature,parameter:temperature,,,warmup-temperature,WarmupTemperature
thrusters,parameters,thrustersMinimumFlow,parameter:flow,,,thrusters-minimum-flow,MinimumFlow
thrusters,parameters,thrustersMaximumFlow,parameter:flow,,,thrusters-maximum-flow,MaximumFlow
thrusters,parameters,pumpTuning,parameter:tuning,,,pump-tuning,PumpTuning
thrusters,parameters,warmupMixTuning,parameter:tuning,,,warmup-mix-tuning,WarmupMixTuning
thrusters,parameters,heatDumpTuning,parameter:tuning,,,heat-dump-tuning,HeatDumpTuning
thrusters,parameters,aftFlowBalanceTuning,parameter:tuning,,,aft-flow-balance-tuning,AftFlowBalanceTuning
thrusters,parameters,fwdFlowBalanceTuning,parameter:tuning,,,fwd-flow-balance-tuning,FwdFlowBalanceTuning
thrusters,parameters,aftTemperatureTuning,parameter:tuning,,,aft-temperature-tuning,AftTemperatureTuning
thrusters,parameters,fwdTemperatureTuning,parameter:tuning,,,fwd-temperature-tuning,FwdTemperatureTuning
thrusters,controllerState,thrustersHeatDumpController,pidController,,,thrusters-heat-dump-controller,HeatDumpController
thrusters,controllerState,thrustersWarmupMixController,pidController,,,thrusters-warmup-mix-controller,WarmupMixController
thrusters,controllerState,thrustersPumpController,pidController,,,thrusters-pump-controller,PumpController
thrusters,controllerState,thrustersAftRecoveryTemperatureController,pidController,,,thrusters-aft-recovery-temperature-controller,AftRecoveryTemperatureController
thrusters,controllerState,thrustersFwdRecoveryTemperatureController,pidController,,,thrusters-fwd-recovery-temperature-controller,FwdRecoveryTemperatureController
thrusters,controllerState,thrustersAftFlowController,pidController,,,thrusters-aft-flow-controller,AftFlowController
thrusters,controllerState,thrustersFwdFlowController,pidController,,,thrusters-fwd-flow-controller,FwdFlowController
pcm,sensorValues,pcmPump,sensor:pump,,50001017,pcm-pump,Pump
pcm,sensorValues,pcmTemperatureProducersReturn,sensor:temperature,,50001038-31,pcm-temperature-producers-return,TemperatureProducersReturn
pcm,sensorValues,pcmTemperatureProducersSupply,sensor:temperature,,50001038-55,pcm-temperature-producers-supply,TemperatureProducersSupply
pcm,sensorValues,pcmTemperatureModule1,sensor:temperature,,50001038-60,pcm-temperature-module1,TemperatureModule1
pcm,sensorValues,pcmTemperatureModule2,sensor:temperature,,50001038-33,pcm-temperature-module2,TemperatureModule2
pcm,sensorValues,pcmTemperatureModule3,sensor:temperature,,50001038-34,pcm-temperature-module3,TemperatureModule3
pcm,sensorValues,pcmTemperatureModule4,sensor:temperature,,50001038-35,pcm-temperature-module4,TemperatureModule4
pcm,sensorValues,pcmModule1,sensor:pcm,,50001049,pcm-module1,Module1
pcm,sensorValues,pcmModule2,sensor:pcm,,50001050,pcm-module2,Module2
pcm,sensorValues,pcmModule3,sensor:pcm,,50001051,pcm-module3,Module3
pcm,sensorValues,pcmModule4,sensor:pcm,,50001052,pcm-module4,Module4
pcm,sensorValues,pcmFlowModule1,sensor:flow,,50001057-18,pcm-flow-module1,FlowModule1
pcm,sensorValues,pcmFlowModule2,sensor:flow,,50001057-19,pcm-flow-module2,FlowModule2
pcm,sensorValues,pcmFlowModule3,sensor:flow,,50001057-20,pcm-flow-module3,FlowModule3
pcm,sensorValues,pcmFlowModule4,sensor:flow,,50001057-21,pcm-flow-module4,FlowModule4
pcm,sensorValues,pcmSwitchChargingReturn,sensor:valve,switch,50001062-02,pcm-switch-charging-return,SwitchChargingReturn
pcm,sensorValues,pcmFlowcontrolModule1,sensor:valve,flowcontrol,50001064-04,pcm-flowcontrol-module1,FlowcontrolModule1
pcm,sensorValues,pcmFlowcontrolModule2,sensor:valve,flowcontrol,50001064-05,pcm-flowcontrol-module2,FlowcontrolModule2
pcm,sensorValues,pcmFlowcontrolModule3,sensor:valve,flowcontrol,50001064-06,pcm-flowcontrol-module3,FlowcontrolModule3
pcm,sensorValues,pcmFlowcontrolModule4,sensor:valve,flowcontrol,50001064-07,pcm-flowcontrol-module4,FlowcontrolModule4
pcm,sensorValues,pcmSwitchDischarging,sensor:valve,switch,50001066-01,pcm-switch-discharging,SwitchDischarging
pcm,sensorValues,pcmSwitchChargingSupply,sensor:valve,switch,50001190-01,pcm-switch-charging-supply,SwitchChargingSupply
pcm,sensorValues,pcmSwitchConsumers,sensor:valve,switch,50001071-02,pcm-switch-consumers,SwitchConsumers
pcm,controlValues,pcmPump,control:pump,,50001017,pcm-pump,Pump
pcm,controlValues,pcmSwitchChargingReturn,control:valve,switch,50001062-02,pcm-switch-charging-return,SwitchChargingReturn
pcm,controlValues,pcmFlowcontrolModule1,control:valve,flowcontrol,50001064-04,pcm-flowcontrol-module1,FlowcontrolModule1
pcm,controlValues,pcmFlowcontrolModule2,control:valve,flowcontrol,50001064-05,pcm-flowcontrol-module2,FlowcontrolModule2
pcm,controlValues,pcmFlowcontrolModule3,control:valve,flowcontrol,50001064-06,pcm-flowcontrol-module3,FlowcontrolModule3
pcm,controlValues,pcmFlowcontrolModule4,control:valve,flowcontrol,50001064-07,pcm-flowcontrol-module4,FlowcontrolModule4
pcm,controlValues,pcmSwitchDischarging,control:valve,switch,50001066-01,pcm-switch-discharging,SwitchDischarging
pcm,controlValues,pcmSwitchChargingSupply,control:valve,switch,50001190-01,pcm-switch-charging-supply,SwitchChargingSupply
pcm,controlValues,pcmSwitchConsumers,control:valve,switch,50001071-02,pcm-switch-consumers,SwitchConsumers
pcm,controlValues,pcmModule1,control:pcm,,50001049,pcm-module1,Module1
pcm,parameters,pcmDischargeFlow,parameter:flow,,,pcm-discharge-flow,DischargeFlow
pcm,parameters,pcmChargeFlow,parameter:flow,,,pcm-charge-flow,ChargeFlow
pcm,parameters,minimumChargingDt,parameter:dT,,,minimum-charging-dt,MinimumChargingDt
pcm,parameters,minimumChargingTemperature,parameter:temperature,,,minimum-charging-temperature,MinimumChargingTemperature
pcm,parameters,pumpTuning,parameter:tuning,,,pump-tuning,PumpTuning
pcm,parameters,supplyingEnabled,parameter:enabled,,,supplying-enabled,SupplyingEnabled
pcm,parameters,chargingEnabled,parameter:enabled,,,charging-enabled,ChargingEnabled
pcm,parameters,module1FlowBalanceTuning,parameter:tuning,,,module1-flow-balance-tuning,Module1FlowBalanceTuning
pcm,parameters,module2FlowBalanceTuning,parameter:tuning,,,module2-flow-balance-tuning,Module2FlowBalanceTuning
pcm,parameters,module3FlowBalanceTuning,parameter:tuning,,,module3-flow-balance-tuning,Module3FlowBalanceTuning
pcm,parameters,module4FlowBalanceTuning,parameter:tuning,,,module4-flow-balance-tuning,Module4FlowBalanceTuning
pvt,sensorValues,pvtPumpMainFwd,sensor:pump,,50001018,pvt-pump-main-fwd,PumpMainFwd
pvt,sensorValues,pvtPumpMainAft,sensor:pump,,50001019,pvt-pump-main-aft,PumpMainAft
pvt,sensorValues,pvtPumpOwners,sensor:pump,,50001021,pvt-pump-owners,PumpOwners
pvt,sensorValues,pvtTemperatureMainFwdReturn,sensor:temperature,,50001038-03,pvt-temperature-main-fwd-return,TemperatureMainFwdReturn
pvt,sensorValues,pvtTemperatureMainFwdSupply,sensor:temperature,,50001038-23,pvt-temperature-main-fwd-supply,TemperatureMainFwdSupply
pvt,sensorValues,pvtTemperatureMainAftReturn,sensor:temperature,,50001038-73,pvt-temperature-main-aft-return,TemperatureMainAftReturn
pvt,sensorValues,pvtTemperatureMainAftSupply,sensor:temperature,,50001038-22,pvt-temperature-main-aft-supply,TemperatureMainAftSupply
pvt,sensorValues,pvtTemperatureOwnersSupply,sensor:temperature,,50001038-21,pvt-temperature-owners-supply,TemperatureOwnersSupply
pvt,sensorValues,pvtTemperatureOwnersReturn,sensor:temperature,,50001038-04,pvt-temperature-owners-return,TemperatureOwnersReturn
pvt,sensorValues,pvtMixMainFwd,sensor:valve,mix,50001044-01,pvt-mix-main-fwd,MixMainFwd
pvt,sensorValues,pvtMixMainAft,sensor:valve,mix,50001044-02,pvt-mix-main-aft,MixMainAft
pvt,sensorValues,pvtMixOwners,sensor:valve,mix,50001043-01,pvt-mix-owners,MixOwners
pvt,sensorValues,pvtFlowMainFwdRecovery,sensor:flow,,50001058-12,pvt-flow-main-fwd-recovery,FlowMainFwdRecovery
pvt,sensorValues,pvtFlowMainAftRecovery,sensor:flow,,50001058-13,pvt-flow-main-aft-recovery,FlowMainAftRecovery
pvt,sensorValues,pvtFlowOwnersRecovery,sensor:flow,,50001057-03,pvt-flow-owners-recovery,FlowOwnersRecovery
pvt,sensorValues,pvtPressureMainFwd,sensor:pressure,,50001097-03,pvt-pressure-main-fwd,PressureMainFwd
pvt,sensorValues,pvtPressureMainAft,sensor:pressure,,50001097-04,pvt-pressure-main-aft,PressureMainAft
pvt,sensorValues,pvtPressureOwners,sensor:pressure,,50001097-05,pvt-pressure-owners,PressureOwners
pvt,sensorValues,pvtPressureSystem,sensor:pressure,,50001097-06,pvt-pressure-system,PressureSystem
pvt,sensorValues,pvtPressureMainVacuum,sensor:pressure,,50009059-01,pvt-pressure-main-vacuum,PressureMainVacuum
pvt,sensorValues,pvtPressureOwnersVacuum,sensor:pressure,,50009059-02,pvt-pressure-owners-vacuum,PressureOwnersVacuum
pvt,sensorValues,pvtSwitchMainFwd,sensor:valve,switch,50001067-01,pvt-switch-main-fwd,SwitchMainFwd
pvt,sensorValues,pvtSwitchMainAft,sensor:valve,switch,50001067-02,pvt-switch-main-aft,SwitchMainAft
pvt,sensorValues,pvtSwitchOwners,sensor:valve,switch,50001069-01,pvt-switch-owners,SwitchOwners
pvt,sensorValues,pvtMixExchanger,sensor:valve,mix,50001047-02,pvt-mix-exchanger,MixExchanger
pvt,sensorValues,pvtTemperatureSupply,sensor:temperature,,50001038-24,pvt-temperature-supply,TemperatureSupply
pvt,sensorValues,pvtTemperatureMainString11Return,sensor:temperature,,50009005-01,pvt-temperature-main-string11-return,TemperatureMainString11Return
pvt,sensorValues,pvtTemperatureMainString12Return,sensor:temperature,,50009005-19,pvt-temperature-main-string12-return,TemperatureMainString12Return
pvt,sensorValues,pvtTemperatureMainString21Return,sensor:temperature,,50009005-03,pvt-temperature-main-string21-return,TemperatureMainString21Return
pvt,sensorValues,pvtTemperatureMainString22Return,sensor:temperature,,50009005-04,pvt-temperature-main-string22-return,TemperatureMainString22Return
pvt,sensorValues,pvtTemperatureMainString3Return,sensor:temperature,,50009005-05,pvt-temperature-main-string3-return,TemperatureMainString3Return
pvt,sensorValues,pvtTemperatureMainString4Return,sensor:temperature,,50009005-06,pvt-temperature-main-string4-return,TemperatureMainString4Return
pvt,sensorValues,pvtTemperatureMainString51Return,sensor:temperature,,50009005-07,pvt-temperature-main-string51-return,TemperatureMainString51Return
pvt,sensorValues,pvtTemperatureMainString52Return,sensor:temperature,,50009005-08,pvt-temperature-main-string52-return,TemperatureMainString52Return
pvt,sensorValues,pvtTemperatureMainString61Return,sensor:temperature,,50009005-09,pvt-temperature-main-string61-return,TemperatureMainString61Return
pvt,sensorValues,pvtTemperatureMainString62Return,sensor:temperature,,50009005-10,pvt-temperature-main-string62-return,TemperatureMainString62Return
pvt,sensorValues,pvtFlowMainString11,sensor:flow,,50009006-01,pvt-flow-main-string11,FlowMainString11
pvt,sensorValues,pvtFlowMainString12,sensor:flow,,50009009-05,pvt-flow-main-string12,FlowMainString12
pvt,sensorValues,pvtFlowMainString21,sensor:flow,,50009006-03,pvt-flow-main-string21,FlowMainString21
pvt,sensorValues,pvtFlowMainString22,sensor:flow,,50009006-04,pvt-flow-main-string22,FlowMainString22
pvt,sensorValues,pvtFlowMainString3,sensor:flow,,50009009-01,pvt-flow-main-string3,FlowMainString3
pvt,sensorValues,pvtFlowMainString4,sensor:flow,,50009009-02,pvt-flow-main-string4,FlowMainString4
pvt,sensorValues,pvtFlowMainString51,sensor:flow,,50009006-05,pvt-flow-main-string51,FlowMainString51
pvt,sensorValues,pvtFlowMainString52,sensor:flow,,50009006-06,pvt-flow-main-string52,FlowMainString52
pvt,sensorValues,pvtFlowMainString61,sensor:flow,,50009006-07,pvt-flow-main-string61,FlowMainString61
pvt,sensorValues,pvtFlowMainString62,sensor:flow,,50009006-08,pvt-flow-main-string62,FlowMainString62
pvt,sensorValues,pvtTemperatureMainString1Supply,sensor:temperature,,50009005-26,pvt-temperature-main-string1-supply,TemperatureMainString1Supply
pvt,sensorValues,pvtTemperatureMainString2Supply,sensor:temperature,,50009005-25,pvt-temperature-main-string2-supply,TemperatureMainString2Supply
pvt,sensorValues,pvtTemperatureMainString3Supply,sensor:temperature,,50009005-24,pvt-temperature-main-string3-supply,TemperatureMainString3Supply
pvt,sensorValues,pvtTemperatureMainString4Supply,sensor:temperature,,50009005-23,pvt-temperature-main-string4-supply,TemperatureMainString4Supply
pvt,sensorValues,pvtTemperatureMainString5Supply,sensor:temperature,,50009005-22,pvt-temperature-main-string5-supply,TemperatureMainString5Supply
pvt,sensorValues,pvtTemperatureMainString6Supply,sensor:temperature,,50009005-21,pvt-temperature-main-string6-supply,TemperatureMainString6Supply
pvt,sensorValues,pvtTemperatureMainString71Return,sensor:temperature,,50009005-11,pvt-temperature-main-string71-return,TemperatureMainString71Return
pvt,sensorValues,pvtTemperatureMainString72Return,sensor:temperature,,50009005-12,pvt-temperature-main-string72-return,TemperatureMainString72Return
pvt,sensorValues,pvtTemperatureMainString81Return,sensor:temperature,,50009005-13,pvt-temperature-main-string81-return,TemperatureMainString81Return
pvt,sensorValues,pvtTemperatureMainString82Return,sensor:temperature,,50009005-14,pvt-temperature-main-string82-return,TemperatureMainString82Return
pvt,sensorValues,pvtTemperatureMainString9Return,sensor:temperature,,50009005-15,pvt-temperature-main-string9-return,TemperatureMainString9Return
pvt,sensorValues,pvtTemperatureMainString10Return,sensor:temperature,,50009005-16,pvt-temperature-main-string10-return,TemperatureMainString10Return
pvt,sensorValues,pvtTemperatureMainString111Return,sensor:temperature,,50009005-17,pvt-temperature-main-string111-return,TemperatureMainString111Return
pvt,sensorValues,pvtTemperatureMainString112Return,sensor:temperature,,50009005-18,pvt-temperature-main-string112-return,TemperatureMainString112Return
pvt,sensorValues,pvtTemperatureMainString13Return,sensor:temperature,,50009005-20,pvt-temperature-main-string13-return,TemperatureMainString13Return
pvt,sensorValues,pvtFlowMainString71,sensor:flow,,50009006-09,pvt-flow-main-string71,FlowMainString71
pvt,sensorValues,pvtFlowMainString72,sensor:flow,,50009006-10,pvt-flow-main-string72,FlowMainString72
pvt,sensorValues,pvtFlowMainString81,sensor:flow,,50009006-11,pvt-flow-main-string81,FlowMainString81
pvt,sensorValues,pvtFlowMainString82,sensor:flow,,50009006-12,pvt-flow-main-string82,FlowMainString82
pvt,sensorValues,pvtFlowMainString9,sensor:flow,,50009009-03,pvt-flow-main-string9,FlowMainString9
pvt,sensorValues,pvtFlowMainString10,sensor:flow,,50009009-04,pvt-flow-main-string10,FlowMainString10
pvt,sensorValues,pvtFlowMainString111,sensor:flow,,50009006-13,pvt-flow-main-string111,FlowMainString111
pvt,sensorValues,pvtFlowMainString112,sensor:flow,,50009006-14,pvt-flow-main-string112,FlowMainString112
pvt,sensorValues,pvtFlowMainString13,sensor:flow,,50009009-06,pvt-flow-main-string13,FlowMainString13
pvt,sensorValues,pvtTemperatureMainString7Supply,sensor:temperature,,50009005-27,pvt-temperature-main-string7-supply,TemperatureMainString7Supply
pvt,sensorValues,pvtTemperatureMainString8Supply,sensor:temperature,,50009005-28,pvt-temperature-main-string8-supply,TemperatureMainString8Supply
pvt,sensorValues,pvtTemperatureMainString9Supply,sensor:temperature,,50009005-29,pvt-temperature-main-string9-supply,TemperatureMainString9Supply
pvt,sensorValues,pvtTemperatureMainString10Supply,sensor:temperature,,50009005-30,pvt-temperature-main-string10-supply,TemperatureMainString10Supply
pvt,sensorValues,pvtTemperatureMainString11Supply,sensor:temperature,,50009005-31,pvt-temperature-main-string11-supply,TemperatureMainString11Supply
pvt,sensorValues,pvtTemperatureMainString12Supply,sensor:temperature,,50009005-32,pvt-temperature-main-string12-supply,TemperatureMainString12Supply
pvt,sensorValues,pvtTemperatureMainString13Supply,sensor:temperature,,50009005-33,pvt-temperature-main-string13-supply,TemperatureMainString13Supply
pvt,sensorValues,pvtTemperatureOwnersString1Return,sensor:temperature,,50009005-34,pvt-temperature-owners-string1-return,TemperatureOwnersString1Return
pvt,sensorValues,pvtTemperatureOwnersString2Return,sensor:temperature,,50009005-35,pvt-temperature-owners-string2-return,TemperatureOwnersString2Return
pvt,sensorValues,pvtTemperatureOwnersString3Return,sensor:temperature,,50009005-36,pvt-temperature-owners-string3-return,TemperatureOwnersString3Return
pvt,sensorValues,pvtTemperatureOwnersString4Return,sensor:temperature,,50009005-37,pvt-temperature-owners-string4-return,TemperatureOwnersString4Return
pvt,sensorValues,pvtTemperatureOwnersString5Return,sensor:temperature,,50009005-38,pvt-temperature-owners-string5-return,TemperatureOwnersString5Return
pvt,sensorValues,pvtTemperatureOwnersString6Return,sensor:temperature,,50009005-39,pvt-temperature-owners-string6-return,TemperatureOwnersString6Return
pvt,sensorValues,pvtFlowOwnersString1,sensor:flow,,50009009-07,pvt-flow-owners-string1,FlowOwnersString1
pvt,sensorValues,pvtFlowOwnersString2,sensor:flow,,50009009-08,pvt-flow-owners-string2,FlowOwnersString2
pvt,sensorValues,pvtFlowOwnersString3,sensor:flow,,50009009-09,pvt-flow-owners-string3,FlowOwnersString3
pvt,sensorValues,pvtFlowOwnersString4,sensor:flow,,50009009-10,pvt-flow-owners-string4,FlowOwnersString4
pvt,sensorValues,pvtFlowOwnersString5,sensor:flow,,50009009-11,pvt-flow-owners-string5,FlowOwnersString5
pvt,sensorValues,pvtFlowOwnersString6,sensor:flow,,50009009-12,pvt-flow-owners-string6,FlowOwnersString6
pvt,sensorValues,pvtTemperatureOwnersString1Supply,sensor:temperature,,50009005-40,pvt-temperature-owners-string1-supply,TemperatureOwnersString1Supply
pvt,sensorValues,pvtTemperatureOwnersString2Supply,sensor:temperature,,50009005-41,pvt-temperature-owners-string2-supply,TemperatureOwnersString2Supply
pvt,sensorValues,pvtTemperatureOwnersString3Supply,sensor:temperature,,50009005-42,pvt-temperature-owners-string3-supply,TemperatureOwnersString3Supply
pvt,sensorValues,pvtTemperatureOwnersString4Supply,sensor:temperature,,50009005-43,pvt-temperature-owners-string4-supply,TemperatureOwnersString4Supply
pvt,sensorValues,pvtTemperatureOwnersString5Supply,sensor:temperature,,50009005-44,pvt-temperature-owners-string5-supply,TemperatureOwnersString5Supply
pvt,sensorValues,pvtTemperatureOwnersString6Supply,sensor:temperature,,50009005-45,pvt-temperature-owners-string6-supply,TemperatureOwnersString6Supply
pvt,sensorValues,pvtMaxTemperatureMainFwdStrings,sensor:calculatedTemperature,,,pvt-max-temperature-main-fwd-strings,MaxTemperatureMainFwdStrings
pvt,sensorValues,pvtMaxTemperatureMainAftStrings,sensor:calculatedTemperature,,,pvt-max-temperature-main-aft-strings,MaxTemperatureMainAftStrings
pvt,sensorValues,pvtMaxTemperatureOwnersStrings,sensor:calculatedTemperature,,,pvt-max-temperature-owners-strings,MaxTemperatureOwnersStrings
pvt,controlValues,pvtPumpMainFwd,control:pump,,50001018,pvt-pump-main-fwd,PumpMainFwd
pvt,controlValues,pvtPumpMainAft,control:pump,,50001019,pvt-pump-main-aft,PumpMainAft
pvt,controlValues,pvtPumpOwners,control:pump,,50001021,pvt-pump-owners,PumpOwners
pvt,controlValues,pvtMixMainFwd,control:valve,mix,50001044-01,pvt-mix-main-fwd,MixMainFwd
pvt,controlValues,pvtMixMainAft,control:valve,mix,50001044-02,pvt-mix-main-aft,MixMainAft
pvt,controlValues,pvtMixOwners,control:valve,mix,50001043-01,pvt-mix-owners,MixOwners
pvt,controlValues,pvtSwitchMainFwd,control:valve,switch,50001067-01,pvt-switch-main-fwd,SwitchMainFwd
pvt,controlValues,pvtSwitchMainAft,control:valve,switch,50001067-02,pvt-switch-main-aft,SwitchMainAft
pvt,controlValues,pvtSwitchOwners,control:valve,switch,50001069-01,pvt-switch-owners,SwitchOwners
pvt,controlValues,pvtMixExchanger,control:valve,mix,50001047-02,pvt-mix-exchanger,MixExchanger
pvt,parameters,maximumSupplyTemperature,parameter:temperature,,,maximum-supply-temperature,MaximumSupplyTemperature
pvt,parameters,recoveryTemperature,parameter:temperature,,,recovery-temperature,RecoveryTemperature
pvt,parameters,warmupTemperature,parameter:temperature,,,warmup-temperature,WarmupTemperature
pvt,parameters,recoveryActivationStringTemperature,parameter:temperature,,,recovery-activation-string-temperature,RecoveryActivationStringTemperature
pvt,parameters,minimumReturnTemperature,parameter:temperature,,,minimum-return-temperature,MinimumReturnTemperature
pvt,parameters,mainFwdMinimumPumpDutypoint,parameter:dutypoint,,,main-fwd-minimum-pump-dutypoint,MainFwdMinimumPumpDutypoint
pvt,parameters,mainAftMinimumPumpDutypoint,parameter:dutypoint,,,main-aft-minimum-pump-dutypoint,MainAftMinimumPumpDutypoint
pvt,parameters,ownersMinimumPumpDutypoint,parameter:dutypoint,,,owners-minimum-pump-dutypoint,OwnersMinimumPumpDutypoint
pvt,parameters,heatDumpTuning,parameter:tuning,,,heat-dump-tuning,HeatDumpTuning
pvt,parameters,mainFwdMixTuning,parameter:tuning,,,main-fwd-mix-tuning,MainFwdMixTuning
pvt,parameters,mainAftMixTuning,parameter:tuning,,,main-aft-mix-tuning,MainAftMixTuning
pvt,parameters,ownersMixTuning,parameter:tuning,,,owners-mix-tuning,OwnersMixTuning
pvt,parameters,mainFwdPumpTuning,parameter:tuning,,,main-fwd-pump-tuning,MainFwdPumpTuning
pvt,parameters,mainAftPumpTuning,parameter:tuning,,,main-aft-pump-tuning,MainAftPumpTuning
pvt,parameters,ownersPumpTuning,parameter:tuning,,,owners-pump-tuning,OwnersPumpTuning
adsorption,sensorValues,adsorptionFlowcontrolWaste,sensor:valve,flowcontrol,50001062-03,adsorption-flowcontrol-waste,FlowcontrolWaste
adsorption,sensorValues,adsorptionMixHot,sensor:valve,mix,50001046-02,adsorption-mix-hot,MixHot
adsorption,sensorValues,adsorptionMixWaste,sensor:valve,mix,50001047-01,adsorption-mix-waste,MixWaste
adsorption,sensorValues,adsorptionSwitchDhw,sensor:valve,switch,50001187-01,adsorption-switch-dhw,SwitchDhw
adsorption,sensorValues,adsorptionChiller,sensor:adsorptionChiller,,50001034,adsorption-chiller,Chiller
adsorption,sensorValues,adsorptionFlowHt,sensor:flow,,50001058-09,adsorption-flow-ht,FlowHt
adsorption,sensorValues,adsorptionFlowHot,sensor:flow,,50001058-02,adsorption-flow-hot,FlowHot
adsorption,sensorValues,adsorptionFlowWaste,sensor:flow,,50001059,adsorption-flow-waste,FlowWaste
adsorption,sensorValues,adsorptionFlowDhw,sensor:flow,,50001058-10,adsorption-flow-dhw,FlowDhw
adsorption,sensorValues,adsorptionTemperatureHtReturn,sensor:temperature,,50001038-41,adsorption-temperature-ht-return,TemperatureHtReturn
adsorption,sensorValues,adsorptionTemperatureHtSupply,sensor:temperature,,50001038-50,adsorption-temperature-ht-supply,TemperatureHtSupply
adsorption,sensorValues,adsorptionTemperatureHotReturn,sensor:temperature,,50001038-36,adsorption-temperature-hot-return,TemperatureHotReturn
adsorption,sensorValues,adsorptionTemperatureHotSupply,sensor:temperature,,50001038-37,adsorption-temperature-hot-supply,TemperatureHotSupply
adsorption,sensorValues,adsorptionTemperatureWasteReturn,sensor:temperature,,50001038-38,adsorption-temperature-waste-return,TemperatureWasteReturn
adsorption,sensorValues,adsorptionTemperatureWasteSupply,sensor:temperature,,50001038-39,adsorption-temperature-waste-supply,TemperatureWasteSupply
