module,section,field,componentType,valveType,yardTag,technicalName,friendlyName
dc,controlValues,dcPumpUgrid,control:pump,,50001023,dc-pump-ugrid,PumpUgrid
dc,controlValues,dcMixAft,control:valve,mix,50001043-02,dc-mix-aft,MixAft
dc,controlValues,dcMixFwd,control:valve,mix,50001042-03,dc-mix-fwd,MixFwd
dc,controlValues,dcMixUgrid,control:valve,mix,50001045-01,dc-mix-ugrid,MixUgrid
dc,controlValues,dcMixRecovery,control:valve,mix,50001046-04,dc-mix-recovery,MixRecovery
dc,controlValues,dcMixExchanger,control:valve,mix,50001046-05,dc-mix-exchanger,MixExchanger
dc,controlValues,dcSwitchAft4,control:valve,switch,50001068-01,dc-switch-aft4,SwitchAft4
dc,controlValues,dcSwitchAft3,control:valve,switch,50001068-02,dc-switch-aft3,SwitchAft3
dc,controlValues,dcSwitchAft2,control:valve,switch,50001068-03,dc-switch-aft2,SwitchAft2
dc,controlValues,dcSwitchAft1,control:valve,switch,50001068-04,dc-switch-aft1,SwitchAft1
dc,controlValues,dcSwitchFwd2,control:valve,switch,50001068-05,dc-switch-fwd2,SwitchFwd2
dc,controlValues,dcSwitchFwd1,control:valve,switch,50001068-06,dc-switch-fwd1,SwitchFwd1
dc,controlValues,dcSwitchUgrid2,control:valve,switch,50001069-02,dc-switch-ugrid2,SwitchUgrid2
dc,controlValues,dcSwitchUgrid1,control:valve,switch,50001069-03,dc-switch-ugrid1,SwitchUgrid1
dc,parameters,maximumSupplyTemperature,parameter:temperature,,,maximum-supply-temperature,MaximumSupplyTemperature
dc,parameters,recoveryTemperature,parameter:temperature,,,recovery-temperature,RecoveryTemperature
dc,parameters,brightloopFlowSetpoint,parameter:flow,,,brightloop-flow-setpoint,BrightloopFlowSetpoint
dc,parameters,ugridFlowSetpoint,parameter:flow,,,ugrid-flow-setpoint,UgridFlowSetpoint
dc,parameters,brightloopReturnTemperature,parameter:temperature,,,brightloop-return-temperature,BrightloopReturnTemperature
dc,parameters,ugridReturnTemperature,parameter:temperature,,,ugrid-return-temperature,UgridReturnTemperature
dc,parameters,heatDumpTuning,parameter:tuning,,,heat-dump-tuning,HeatDumpTuning
dc,parameters,recoveryMixTuning,parameter:tuning,,,recovery-mix-tuning,RecoveryMixTuning
dc,parameters,brightloopsFwdMixTuning,parameter:tuning,,,brightloops-fwd-mix-tuning,BrightloopsFwdMixTuning
dc,parameters,brightloopsAftMixTuning,parameter:tuning,,,brightloops-aft-mix-tuning,BrightloopsAftMixTuning
dc,parameters,ugridsMixTuning,parameter:tuning,,,ugrids-mix-tuning,UgridsMixTuning
dc,parameters,brightloopsFwdPumpTuning,parameter:tuning,,,brightloops-fwd-pump-tuning,BrightloopsFwdPumpTuning
dc,parameters,brightloopsAftPumpTuning,parameter:tuning,,,brightloops-aft-pump-tuning,BrightloopsAftPumpTuning
dc,parameters,ugridsPumpTuning,parameter:tuning,,,ugrids-pump-tuning,UgridsPumpTuning
dhw,sensorValues,dhwPump,sensor:pump,,50001022,dhw-pump,Pump
dhw,sensorValues,dhwTemperatureHvacExchangerReturn,sensor:temperature,,50001038-25,dhw-temperature-hvac-exchanger-return,TemperatureHvacExchangerReturn
